dataset,family,readout_order,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
digits01,u1_rzxy,2,AQNG-random,5,2.1272879971545238,0.0055391654711732345,0.4666666666666667,0.0,1.9506686534785451,9.089732262199998,0.00127228914981178,7.693187213616202e-05
digits01,u1_rzxy,2,Full-QNG,5,2.124372553727418,0.005653122963794415,0.4666666666666667,0.0,1.9474785402565888,140.4995594474,0.0035106613473784203,0.00021420505838848697
iris01,su2_haar,1,AQNG-aligned,5,0.23734562986065902,0.07141523491870634,0.9733333333333333,0.03651483716701115,0.24109837397881248,16.7860647394,7.04636075495236,0.43627444519650566
iris01,su2_haar,1,AQNG-physical,5,0.2729227960955568,0.08327277586745732,0.9733333333333333,0.03651483716701115,0.2766574749208316,16.853722745800006,4.798508395570092,0.3214851905583186
iris01,su2_haar,1,AQNG-random,5,0.24102699104890918,0.05199510442373169,0.9733333333333333,0.03651483716701112,0.2347670666431995,16.807416776999993,8.198793383623519,0.4806940616987957
iris01,su2_haar,1,Full-QNG,5,0.4638726582561349,0.12396067741110245,0.9066666666666666,0.059628479399994355,0.4117934749255411,220.73621995440004,2.283453100390311,0.1310637546547739
iris01,su2_haar,2,AQNG-aligned,5,0.3614926897562182,0.1237511948180447,0.96,0.059628479399994376,0.3260837983967397,16.962519907599994,2.5722136139886405,0.14643032035169284
iris01,su2_haar,2,AQNG-physical,5,0.3155443311679755,0.07920345659188338,0.9733333333333334,0.05962847939999438,0.30303700055938354,16.9991055452,2.590941231070048,0.14693496398223285
iris01,su2_haar,2,AQNG-random,5,0.27647529822685696,0.06906990390711151,0.9733333333333334,0.05962847939999438,0.2561528173696326,17.0116371186,2.9305411243496673,0.17509840873213833
iris01,su2_haar,2,Full-QNG,5,0.4638726582561349,0.12396067741110248,0.9066666666666666,0.059628479399994355,0.4117934749255411,223.84056808539998,2.283453100390311,0.1310637546547739
iris01,u1_rzxy,1,AQNG-aligned,5,2.122338777803793,0.01371599160583471,0.4666666666666667,0.0,1.9466038496206042,8.001858115399997,0.00289757595799108,0.00017399620607195073
iris01,u1_rzxy,1,AQNG-physical,5,2.1226077106331447,0.01316572812856444,0.4666666666666667,0.0,1.9468132710133201,8.168921057399999,0.0028392469504127,0.00017051196912393373
iris01,u1_rzxy,1,AQNG-random,5,1.6130729371855075,0.569732102712365,0.4666666666666667,0.0,1.5172005023918025,8.017056517,0.02567854870948208,0.00189225449620474
iris01,u1_rzxy,1,Full-QNG,5,2.120848399568528,0.012030179591566052,0.4666666666666667,0.0,1.945219741607439,132.6081452882,0.0039760017937702005,0.00024328202642416
iris01,u1_rzxy,2,AQNG-aligned,5,2.12526853703959,0.008333019375033064,0.4666666666666667,0.0,1.94891861257866,9.077386427599999,0.00277596741376348,0.000167087050588184
