dataset,family,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
breast_cancer,u1_rzxy,SGD,20,2.6631611689256847,0.003109913323644831,0.3333333333333333,0.0,2.4855898560314715,0.3253246538999974,0.0006587484173353496,6.649427995361474e-05
digits01,ryrz_cz,AQNG-Z0,20,0.8523188216788811,0.20672607789189465,0.6633333333333333,0.15366858848743062,0.741611979250296,9.16376747505,0.7539022034688133,0.06253472704733307
digits01,ryrz_cz,AQNG-aligned,20,0.6664575572082242,0.10390177121397993,0.75,0.13311385444653773,0.5499346724550432,9.1497669585,1.5818532885482033,0.16340746408992374
digits01,ryrz_cz,AQNG-physical,20,0.7400460315380107,0.17318481293037477,0.76,0.14084124860970781,0.6574231211011512,9.11952713885,0.7972229920680128,0.07415322596642368
digits01,ryrz_cz,AQNG-random,20,0.6812915903631682,0.12657447787655107,0.73,0.10700603907098337,0.5393848895344217,9.16676811375,1.5044555688885064,0.14218314772395707
digits01,ryrz_cz,Adam,20,0.7161914417653954,0.1682471914215593,0.7033333333333334,0.10254082056937586,0.5280273177578959,0.41740824419999567,1.5456398787810994,0.11167769534266041
digits01,ryrz_cz,Block-QNG,20,0.689053039498037,0.3042044097904449,0.8133333333333332,0.15686996887391455,0.6374502286011865,2.651164104000002,0.8860376749891685,0.0575049498517259
digits01,ryrz_cz,Full-QNG,20,0.8662970518919548,0.2950422905366889,0.6733333333333333,0.17154270775755912,0.7806207092685175,46.313545426900006,0.6658053509826376,0.0455124121375033
digits01,ryrz_cz,SGD,20,0.5884287353932892,0.12466626754113569,0.7866666666666667,0.07677718959499145,0.45206124137795234,0.4172445765999974,1.2025127318104674,0.14084292749169414
digits01,su2_cnot,AQNG-Z0,20,0.6915004630248007,0.09621071830001475,0.75,0.12211584951084109,0.5418364955897123,17.227412148800003,2.3076943575753486,0.29124560863162813
digits01,su2_cnot,AQNG-aligned,20,0.6441378931997497,0.0960980523795462,0.77,0.08229173606481643,0.4995650735109936,17.312575927250002,3.322956187559896,0.3288750909861714
digits01,su2_cnot,AQNG-physical,20,0.6837962728218864,0.09496364983203698,0.7533333333333333,0.08404955374884582,0.5475461717901159,17.2072542579,2.219963550443944,0.2718537866245461
digits01,su2_cnot,AQNG-random,20,0.5954636944816579,0.07430636440929836,0.7766666666666666,0.07578053878456882,0.44593300403822883,17.324099550000003,3.3864431315781927,0.3168876085270129
digits01,su2_cnot,Adam,20,0.6514295787733457,0.052693866417701754,0.76,0.05883866334387254,0.4825331080586279,0.5711397086999994,1.724345663114839,0.1283785963638192
digits01,su2_cnot,Block-QNG,20,1.0722606048305852,0.16387409323963803,0.5766666666666667,0.08172124921401663,1.0330716275132592,6.150118034599993,0.6471301868189298,0.041651176518126096
digits01,su2_cnot,Full-QNG,20,0.7167239696286231,0.11596492585944664,0.75,0.11002392084403619,0.6208812742189164,214.1743566039,1.1555022843346556,0.08938649554812769
digits01,su2_cnot,SGD,20,0.7900306591976272,0.14554612030508618,0.7033333333333334,0.12134721339540684,0.709086979772773,0.6311561669499867,0.76279698051486,0.08646409481069996
digits01,su2_haar,AQNG-Z0,20,0.6824218763750096,0.1377011175543935,0.7533333333333333,0.1039568061449545,0.5185225518983378,14.881184221900005,4.388291924639144,0.2231201628711083
digits01,su2_haar,AQNG-aligned,20,0.6287722934193625,0.09773318476621913,0.7833333333333334,0.07453559924999303,0.4651862237812282,14.7685448926,4.948679853876717,0.2715836362127511
digits01,su2_haar,AQNG-physical,20,0.690944867838529,0.15377909068836101,0.7533333333333333,0.08944271909999162,0.4992258304741798,14.830306199149996,3.734445831630494,0.20081394197076122
digits01,su2_haar,AQNG-random,20,0.6418281310676659,0.10397461515792375,0.7666666666666667,0.0666666666666667,0.47573541364305016,14.836543506900004,5.581594956148941,0.2978787058386706
digits01,su2_haar,Adam,20,0.6253765817291224,0.1222919290191976,0.7899999999999999,0.09976580764104005,0.480907229986811,0.813816895299999,4.383897757604046,0.24402719156847535
digits01,su2_haar,Block-QNG,20,0.7330192942908893,0.14919060408981835,0.74,0.13490304077135076,0.6340203080840822,10.997183117800002,1.5659686655678933,0.09062897814063305
digits01,su2_haar,Full-QNG,20,0.754930926861817,0.15960429323322417,0.73,0.12882736987174032,0.6101850465384403,202.9199273886,1.7524512529069411,0.09159885913578597
digits01,su2_haar,SGD,20,0.693341663497647,0.13560471926412238,0.7766666666666666,0.11702951094808751,0.5886637766137741,0.812049059250009,1.3841842487074205,0.13424616396606964
digits01,u1_rzxy,AQNG-Z0,20,2.090399384022843,0.1081507877663969,0.4666666666666667,0.0,1.9225625105151494,8.466759749000003,0.0009521267166962032,5.775310728989187e-05
digits01,u1_rzxy,AQNG-aligned,20,2.1112395525192738,0.05648087947542221,0.4666666666666667,0.0,1.9407862914710545,8.482896462949999,0.0015844958664819695,9.969259430414783e-05
digits01,u1_rzxy,AQNG-physical,20,2.112155087558891,0.052839323274464514,0.4666666666666667,0.0,1.9409178953341268,8.494415099950006,0.0015702266518534205,9.884379893069164e-05
digits01,u1_rzxy,AQNG-random,20,2.078259582912753,0.11851517698363725,0.4666666666666667,0.0,1.8970876919711746,8.491144582099999,0.011592733844614084,0.0008979089909767658
digits01,u1_rzxy,Adam,20,1.7874000838533715,0.2555852724065137,0.4666666666666667,0.0,1.5860049022012428,0.3495121916500011,0.03504450858401996,0.002947546697554175
digits01,u1_rzxy,Block-QNG,20,2.1184394692916166,0.011513571476553177,0.4666666666666667,0.0,1.9414046494742128,4.897992440249995,0.005041232014418447,0.0003159881354568516
digits01,u1_rzxy,Full-QNG,20,2.125443089072568,0.011981914519537328,0.4666666666666667,0.0,1.9496564654825956,143.09552672360002,0.00223938455704805,0.00013779537117643563
digits01,u1_rzxy,SGD,20,2.1309709875230647,0.0019929118467390877,0.4666666666666667,0.0,1.953285873772365,0.34959153234999574,0.0005514992984955658,5.560016385441632e-05
