dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,steps,lr,nominal_lam,metric_normalization,damping_mode,max_direction_norm,max_metric_step,shots,loss_batch,metric_batch,metric_every,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,loss_executions,metric_executions,loss_shots_total,metric_shots_total,metric_oracle_in_shot_mode,metric_rank_first,metric_trace_first,metric_rank_last,metric_trace_last,first_g_dot_d,first_predicted_decrease,first_actual_same_batch_decrease,first_actual_same_batch_loss_before,first_actual_same_batch_loss_after,first_diag_metric_rank,first_diag_metric_condition,first_diag_trust_clipped,readout_order,suite,finite_shot_calibration,initial_gradient_max_abs_diff_to_first_method,initial_direction_cosine_to_full_qng,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration,paper_tag
wine01,u1_rzxy,SGD,16,6,3,33,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,2.219577471283687,0.4444444444444444,2.13095813750538,0.4666666666666667,0.3631725330000108,0.0,0.3613904280001065,0.0002198699997961,0,0,80,0,0,0,0,False,,,,,0.0006558661317135,6.558661317135563e-05,6.613795573562342e-05,2.998034052372722,2.997967914416986,0,,False,1,full,False,0.0,0.2881812285400795,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-wine01-u1_rzxy-s16
wine01,u1_rzxy,Adam,16,6,3,33,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,2.088396905911669,0.4444444444444444,2.05177172355146,0.4666666666666667,0.3623391729999525,0.0,0.36035411499995,0.0005195630001253,0,0,80,0,0,0,0,False,,,,,0.0460762680399533,0.0027645760823971,0.0036882915635523,2.998034052372722,2.994345760809169,0,,False,1,full,False,0.0,-0.1060419920771784,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-wine01-u1_rzxy-s16
wine01,ryrz_cz,AQNG-physical,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6090625397077876,0.7777777777777778,0.339731626285292,0.8666666666666667,9.333566568999998,8.769993047999975,0.5566596530000822,0.0032661860000473,10,20,80,0,0,0,0,False,12.0,13.125966668165134,12.0,12.56126596466434,6.495926129703047,0.3897555677821828,0.3567555052220812,1.4761387419775318,1.1193832367554506,12,1419556.4288004425,True,1,full,False,0.0,0.9543490342337942,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,AQNG-random,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.608780827683478,0.8222222222222222,0.372254112821383,0.9333333333333332,9.133908340000003,8.668445159999948,0.458855749999941,0.0031883540000023,10,20,80,0,0,0,0,False,12.0,3.514358620034286,12.0,1.845637601170621,6.529755841396265,0.3917853504837759,0.3586101905649315,1.4761387419775318,1.1175285514126003,12,10549.631036412036,True,1,full,False,0.0,0.953025621393075,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,AQNG-aligned,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5439266079303813,0.8666666666666667,0.3479352007187973,0.8666666666666667,9.129802893000004,8.574587904999987,0.5486645389999865,0.0031897350000065,10,20,80,0,0,0,0,False,12.0,8.489252762811361,12.0,5.130642641814501,6.486619967888931,0.3891971980733358,0.3557070162180911,1.4761387419775318,1.1204317257594407,12,9385.341055954445,True,1,full,False,0.0,0.9554540472375496,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,AQNG-Z0,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6393133743352414,0.7555555555555555,0.4061086185222427,0.8666666666666667,9.092319920999984,8.624675489999987,0.4611232720000373,0.0031758230000207,10,20,80,0,0,0,0,False,2.0,2.9159690348917806,2.0,2.1180146334708265,6.493930692579914,0.3896358415547948,0.3565576243211972,1.4761387419775318,1.1195811176563346,2,1343725.0681100786,True,1,full,False,0.0,0.9552319906984484,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,Full-QNG,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.7133726500411475,0.7333333333333333,0.4106130494183743,0.8,49.888588855,49.34934279699999,0.5323851889999673,0.0029903510000508,10,20,80,0,0,0,0,False,35.0,27.52812462513012,36.0,30.97163599088465,6.219525047065076,0.3731715028239045,0.3432957181020104,1.4761387419775318,1.1328430238755214,35,31486.67605024133,True,1,full,False,0.0,1.0000000000000002,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,Block-QNG,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5277588899759253,0.8666666666666667,0.3075751529769969,0.8666666666666667,2.6096794219999992,2.1646789520000027,0.4389382389999241,0.0027145939999968,10,20,80,0,0,0,0,False,36.0,27.52812462513012,36.0,31.61673700702211,1.642091798266481,0.0985255078959888,0.0962941935443011,1.4761387419775318,1.379844548433231,36,507.1832425739028,False,1,full,False,0.0,0.5378790988906976,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,SGD,0,6,3,36,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.5474670128583733,0.8888888888888888,0.2860460071272663,0.9333333333333332,0.4295560790000081,0.0,0.4274453039999173,0.0002858480000611,0,0,80,0,0,0,0,False,,,,,2.109780359121486,0.2109780359121486,0.2006841549714717,1.4761387419775318,1.27545458700606,0,,False,1,full,False,0.0,0.5352400611645807,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
wine01,ryrz_cz,Adam,0,6,3,36,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6278965385999062,0.7777777777777778,0.3918571358203761,0.8666666666666667,0.4251168810000081,0.0,0.4229041680000307,0.0005715939999504,0,0,80,0,0,0,0,False,,,,,2.1011478277939646,0.1260688696676378,0.1160066229763241,1.4761387419775318,1.3601321190012077,0,,False,1,full,False,0.0,0.1223362071397366,0,0.0,0.0,0,0.0,0.0,paper-run-primary-a-wine01-ryrz_cz-s0
iris01,u1_rzxy,AQNG-physical,4,6,3,33,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,1.9529450251260128,0.5111111111111111,2.130427998612882,0.4666666666666667,5.799322569999994,5.525475712000024,0.2692064450000373,0.0021216250000222,10,20,80,0,0,0,0,False,10,3.3077460088515456,10,3.0590298520978374,0.0009580591987135,5.74835519228118e-05,5.801348179756971e-05,2.9984149195683663,2.9983569060865687,10,185530.92897121428,False,1,orientation,False,0.0,0.98538545804968,0,0.0,0.0,0,0.0,0.0,paper-run-depth-u1_rzxy-L3-s4
iris01,u1_rzxy,AQNG-random,4,6,3,33,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,1.952075350870363,0.5111111111111111,2.1294509250578377,0.4666666666666667,5.798249235,5.527651291999987,0.2661952380000087,0.002075185999999,10,20,80,0,0,0,0,False,10,1.329088293455968,10,1.6152084327143126,0.0019395378568636,0.0001163722714118,0.0001186601583076,2.9984149195683663,2.9982962594100586,10,76433.01472709497,False,1,orientation,False,0.0,0.2081927554061536,0,0.0,0.0,0,0.0,0.0,paper-run-depth-u1_rzxy-L3-s4
iris01,u1_rzxy,AQNG-aligned,4,6,3,33,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,1.95289797045302,0.5111111111111111,2.1303731717797527,0.4666666666666667,5.818115578000004,5.5476444629999975,0.2660893469999479,0.0020513589999779,10,20,80,0,0,0,0,False,10,3.334201764556347,10,3.0807015586339417,0.0010025606945892,6.0153641675353645e-05,6.074528680510838e-05,2.9984149195683663,2.998354174281561,10,176624.2892061185,False,1,orientation,False,0.0,0.8372793486060824,0,0.0,0.0,0,0.0,0.0,paper-run-depth-u1_rzxy-L3-s4
iris01,u1_rzxy,Full-QNG,4,6,3,33,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,1.9513133845074988,0.5111111111111111,2.128592896619921,0.4666666666666667,109.075458962,108.800328695,0.2699740660000032,0.0021498390000687,10,20,80,0,0,0,0,False,23,7.701282643740178,22,7.556050804285255,0.002155543072786,0.0001293325843671,0.0001319321195492,2.9984149195683663,2.998282987448817,23,20459096.383332983,False,1,orientation,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-depth-u1_rzxy-L3-s4
breast_cancer,su2_haar,AQNG-physical,17,6,3,54,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.668297116202896,0.7555555555555555,1.05027600917032,0.6666666666666666,17.95570311099999,17.058856731000105,0.8893496799999809,0.0035004679999985,10,20,80,0,0,0,0,False,12.0,5.646995071452605,12.0,5.712253061291821,4.287958093263269,0.2572774855957961,0.2165399410141301,0.9272336400565064,0.7106936990423762,12,43.10934598590664,True,1,full,False,0.0,0.2473709579278563,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-breast_cancer-su2_haar-s17
breast_cancer,su2_haar,AQNG-random,17,6,3,54,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.6520624405147846,0.7555555555555555,0.9024992355521828,0.6666666666666666,17.999583599000005,16.927611044999992,1.064812935000134,0.0033408770001415,10,20,80,0,0,0,0,False,12.0,2.217202421870375,12.0,2.6797684921240164,3.391977160798735,0.203518629647924,0.1757275016445122,0.9272336400565064,0.7515061384119941,12,23.589601740109867,True,1,full,False,0.0,0.2723461925646779,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-breast_cancer-su2_haar-s17
breast_cancer,su2_haar,AQNG-aligned,17,6,3,54,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.7023913691615412,0.7777777777777778,1.0612786080909606,0.6,17.84620979500005,16.97477084699989,0.8643285080000283,0.0033176349999166,10,20,80,0,0,0,0,False,12.0,4.584590509862298,12.0,4.831262190608512,3.797292438189362,0.2278375462913617,0.1922868524387596,0.9272336400565064,0.7349467876177467,12,18.403496014318492,True,1,full,False,0.0,0.2687538105006452,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-breast_cancer-su2_haar-s17
breast_cancer,su2_haar,AQNG-Z0,17,6,3,54,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.7317399372953639,0.7555555555555555,1.0101831787197364,0.5333333333333333,18.41578527000001,17.51897356799998,0.88933921499995,0.0035148039999057,10,20,80,0,0,0,0,False,2.0,1.8918909293850543,2.0,1.2404685693470991,4.33887901589948,0.2603327409539688,0.2201255757678362,0.9272336400565064,0.7071080642886701,2,2.2785061795232617,True,1,full,False,0.0,0.246125869295932,0,0.0,0.0,0,0.0,0.0,paper-run-primary-b-breast_cancer-su2_haar-s17
