dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,steps,lr,nominal_lam,metric_normalization,damping_mode,max_direction_norm,max_metric_step,shots,loss_batch,metric_batch,metric_every,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,loss_executions,metric_executions,loss_shots_total,metric_shots_total,metric_oracle_in_shot_mode,metric_rank_first,metric_trace_first,metric_rank_last,metric_trace_last,first_g_dot_d,first_predicted_decrease,first_actual_same_batch_decrease,first_actual_same_batch_loss_before,first_actual_same_batch_loss_after,first_diag_metric_rank,first_diag_metric_condition,first_diag_trust_clipped,readout_order,suite,finite_shot_calibration,initial_gradient_max_abs_diff_to_first_method,initial_direction_cosine_to_full_qng,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration,paper_tag,paper_block,source_artifact,setting
iris01,su2_haar,AQNG-physical,3,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2001348051913142,1.0,0.2010405491250385,1.0,88.18771706999999,87.052513122,1.1271448319999706,0.0036062299999741,10,20,80,0,0,0,0,False,14.0,6.059967833701202,14.0,5.141894735370427,3.2803638880312027,0.1968218332818721,0.2486043534401225,1.6260255447184386,1.377421191278316,14,264.38614494077024,True,1,orientation,False,0.0,0.3363512710658577,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s3,scaling,,n8_L3
iris01,su2_haar,AQNG-random,3,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2089038179078031,0.9777777777777776,0.2373855319439498,0.9333333333333332,88.235811939,87.11589297700002,1.1120815839999525,0.003518799000119,10,20,80,0,0,0,0,False,16.0,0.8111050095051857,16.0,0.977688338049738,7.196151941933083,0.431769116515985,0.4249898014612181,1.6260255447184386,1.2010357432572203,16,42.70940612176272,True,1,orientation,False,0.0,0.189380070904076,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s3,scaling,,n8_L3
iris01,su2_haar,Adam,3,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3304860035052094,0.9777777777777776,0.3017111226283168,1.0,1.167314988000001,0.0,1.1645876529999557,0.000659728999949,0,0,80,0,0,0,0,False,,,,,5.154731464273083,0.309283887856385,0.306983525644974,1.6260255447184386,1.3190420190734646,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s3,followup,paper-run-baselines-scaling-su2_haar-n8-s3,n8_L3
iris01,su2_haar,Full-QNG,3,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.427774354668078,0.9777777777777776,0.4316691158586228,1.0,656.980045107,655.8571617289999,1.1147416290000365,0.0034715910001068,10,20,80,0,0,0,0,False,52.0,58.23011870694004,52.0,57.51213397034145,1.787025121866177,0.1072215073119706,0.1122671043812455,1.6260255447184386,1.513758440337193,52,732.1517078148809,True,1,orientation,False,0.0,1.0000000000000002,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s3,scaling,,n8_L3
iris01,su2_haar,SGD,3,8,3,72,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3552281931472459,1.0,0.3234873315736672,1.0,1.164096597000011,0.0,1.1615808730000197,0.0003142739999759,0,0,80,0,0,0,0,False,,,,,1.951909157583283,0.1951909157583283,0.1942852695078136,1.6260255447184386,1.431740275210625,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s3,followup,paper-run-baselines-scaling-su2_haar-n8-s3,n8_L3
iris01,su2_haar,AQNG-aligned,4,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.1786976170439527,1.0,0.1719767037753279,1.0,87.64500755900002,86.258454615,1.378750015000037,0.0035036919999811,10,20,80,0,0,0,0,False,16.0,9.493570911419816,16.0,7.291319460232312,5.775306517051597,0.3465183910230958,0.3529727262806126,1.30197893594535,0.9490062096647374,16,2309.4980522235724,True,1,orientation,False,0.0,0.2501787025539478,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s4,scaling,,n8_L3
iris01,su2_haar,AQNG-physical,4,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3685241163385895,0.9333333333333332,0.3709444672548612,0.8666666666666667,88.30604265899998,87.195294974,1.1029397649999169,0.0034528459999592,10,20,80,0,0,0,0,False,14.0,6.887939496966552,14.0,7.805046344016059,3.2045711689340486,0.1922742701360429,0.1476330212940022,1.30197893594535,1.1543459146513475,14,8508.368888151175,True,1,orientation,False,0.0,0.3832742147696003,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s4,scaling,,n8_L3
iris01,su2_haar,AQNG-random,4,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2065903973467834,0.9777777777777776,0.1500457550045614,1.0,87.65184978999997,86.55159495899991,1.0925738689999775,0.0034404240001322,10,20,80,0,0,0,0,False,16.0,1.12740636558311,16.0,1.0075777878631298,9.68524871514473,0.5811149229086838,0.4950293920424825,1.30197893594535,0.8069495439028674,16,168.31426599311828,True,1,orientation,False,0.0,0.1553757549659361,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s4,scaling,,n8_L3
iris01,su2_haar,Adam,4,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3361042180685208,0.9777777777777776,0.2776910031859966,1.0,1.162844100000001,0.0,1.160335914999976,0.0006226179999799,0,0,80,0,0,0,0,False,,,,,7.641896458719227,0.4585137875231536,0.4030856143420809,1.30197893594535,0.8988933216032691,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s4,followup,paper-run-baselines-scaling-su2_haar-n8-s4,n8_L3
iris01,su2_haar,Full-QNG,4,8,3,72,60,20,0.06,0.003,trace,absolute,8.0,0.25,,4,2,2,0.2850353465362586,0.9555555555555556,0.1885734932912703,1.0,658.138654491,656.9637823429999,1.1669411999993144,0.0034037259996466,10,20,80,0,0,0,0,False,52.0,56.3188401762101,52.0,53.31744200541367,1.611759463481693,0.0967055678089015,0.0972994099534789,1.30197893594535,1.204679525991871,52,15787.751145907972,True,1,orientation,False,0.0,1.0,0,0.0,0.0,0,0.0,0.0,paper-run-scaling-su2_haar-n8-s4,scaling,,n8_L3
iris01,su2_haar,SGD,4,8,3,72,60,20,0.1,0.003,trace,absolute,8.0,0.25,,4,2,2,0.3348577499044794,1.0,0.273311984780668,1.0,1.173700537000002,0.0,1.1711106309999906,0.0003285659999789,0,0,80,0,0,0,0,False,,,,,3.048127898362355,0.3048127898362355,0.2811986266295976,1.30197893594535,1.0207803093157524,0,,False,1,full,False,0.0,,0,0.0,0.0,0,0.0,0.0,paper-run-baselines-n8_L3-s4,followup,paper-run-baselines-scaling-su2_haar-n8-s4,n8_L3
